Ref	Sample	Mutation	lagging_ts	leading_uts	ts_lagging_wg	uts_leading_wg	oddsratio	lowerconfint	higherconfint	flag
C_5	POD689_2	[InsC]567	0	1	1046160	1095007	1	1	1	
C_5	POLE_L424V_d2	[DelC]567	1	3	1046160	1095007	0.348896614504424	0.0362921908618263	3.35413334720137	
C_5	RPE1_WT_U1	[InsC]567	1	0	1046160	1095007	1	1	1	
C_8	DheML6d3	[DelC]89	12	10	6413	6166	1.15406967661303	0.498256172774777	2.6730764037714	
C_8	DheML6d1	[DelC]89	8	4	6413	6166	1.92412177985948	0.579107170234083	6.39302155805312	
C_8	EXO1_KO22_d2	[InsC]89	0	0	6413	6166	1	1	1	
C_8	DheMS6d3	[InsC]89	16	11	6413	6166	1.39951966120483	0.648990958955529	3.01800087516024	
C_8	EXO1_KO22_d3	[DelC]89	0	0	6413	6166	1	1	1	
C_8	EXO1_KO22_d2	[DelC]89	0	0	6413	6166	1	1	1	
C_8	DheML6d3	[InsC]89	11	13	6413	6166	0.813243457573355	0.364061808040491	1.81662812928816	
C_8	DheML6d1	[InsC]89	9	8	6413	6166	1.08178482198626	0.417111696680794	2.80562355453535	
C_8	E_MSHd2	[DelC]89	1	1	6413	6166	0.961478477854024	0.0601261027285552	15.3750338276533	
C_8	E_MSHd1	[DelC]89	2	1	6413	6166	1.92325690219934	0.174350023481573	21.215466668683	
C_8	EXO1_KO22_d3	[InsC]89	0	0	6413	6166	1	1	1	
C_8	DheMS6d3	[DelC]89	14	8	6413	6166	1.68409126426004	0.706000445847332	4.01722605564796	
C_8	DheMS6d2	[DelC]89	14	13	6413	6166	1.03552237729453	0.486356633123411	2.20477427642201	
C_8	EXO1_KO22_d1	[InsC]89	0	0	6413	6166	1	1	1	
C_8	E_MSHd2	[InsC]89	3	3	6413	6166	0.961466458658346	0.193983643391789	4.76544174014699	
C_8	E_MSHd1	[InsC]89	1	3	6413	6166	0.320388854231649	0.0333178706370421	3.08089970797071	
C_8	MLH_A	[DelC]89	3	2	6413	6166	1.44243369734789	0.240940806748572	8.63537812179692	
C_8	MSH3_KO5_d3	[InsC]89	0	0	6413	6166	1	1	1	
C_8	DheMS6d2	[InsC]89	10	11	6413	6166	0.873880141410986	0.370872723184616	2.05910667949646	
C_8	POD689_1	[DelC]89	0	0	6413	6166	1	1	1	
C_8	EXO1_KO22_d1	[DelC]89	0	0	6413	6166	1	1	1	
C_8	MLH1_2	[InsC]89	11	5	6413	6166	2.11718213058419	0.735195744289283	6.09696153559517	
C_8	MLH_A	[InsC]89	10	7	6413	6166	1.37413266102943	0.522729429295813	3.61227140521155	
C_8	MSH3_KO5_d4	[DelC]89	0	0	6413	6166	1	1	1	
C_8	POD689_2	[InsC]89	0	0	6413	6166	1	1	1	
C_8	POD689_1	[InsC]89	0	0	6413	6166	1	1	1	
C_8	MSH3_KO5_d1	[DelC]89	0	0	6413	6166	1	1	1	
