Ref	Sample	Mutation	lagging_ts	leading_uts	ts_lagging_wg	uts_leading_wg	chisq_pvalue	P_adjust_chisq	flag_chisq	binom_pvalue	P_adjust_binom	flag_binom
C_567	MLH_A	[InsC]567	31	28	1286457	1339204	0.585764844068281	1		0.60477599200855	1	
C_567	POLE_P8_2	[DelC]567	2	1	1286457	1339204	0.540359756448485	0.98997207288272		0.617620990032091	1	
C_567	MSH3_KO5_d3	[DelC]567	1	6	1286457	1339204	0.0662036223523161	0.54789204705365		0.125529684799051	0.818056533488218	
C_567	RPE1_c2_MSH2_7_2	[InsC]567	38	28	1286457	1339204	0.163196723792249	0.76343174341448		0.176652764268625	0.974635940792414	
C_567	EXO1_KO22_d1	[InsC]567	0	0	1286457	1339204	1	1		1	1	
C_567	RPE1_c2_OGG1_11_1	[DelC]567	1	0	1286457	1339204	0.307588603666764	0.789703279157356		0.489955481686326	1	
C_567	MLH1_2	[DelC]567	47	40	1286457	1339204	0.348220700873304	0.795933030567551		0.391246746018931	1	
C_567	MSH3_KO5_d4	[InsC]567	0	0	1286457	1339204	1	1		1	1	
C_567	MSH3_KO5_d3	[InsC]567	1	0	1286457	1339204	0.307588603666764	0.789703279157356		0.489955481686326	1	
C_567	RPE1_c2_OGG1_11_2	[InsC]567	0	0	1286457	1339204	1	1		1	1	
C_567	RPE1_c2_OGG1_11_1	[InsC]567	0	0	1286457	1339204	1	1		1	1	
C_567	MLH1_5	[InsC]567	31	28	1286457	1339204	0.585764844068281	1		0.60477599200855	1	
C_567	MLH1_2	[InsC]567	35	32	1286457	1339204	0.595383193289181	1		0.626368566178346	1	
C_567	POD478_1	[DelC]567	0	0	1286457	1339204	1	1		1	1	
C_567	MSH3_KO5_d4	[DelC]567	1	0	1286457	1339204	0.307588603666764	0.789703279157356		0.489955481686326	1	
C_567	RPE1_c2_OGG1_1110	[DelC]567	1	0	1286457	1339204	0.307588603666764	0.789703279157356		0.489955481686326	1	
C_567	RPE1_c2_OGG1_11_2	[DelC]567	0	0	1286457	1339204	1	1		1	1	
C_567	MSH3_KO5_d1	[DelC]567	1	0	1286457	1339204	0.307588603666764	0.789703279157356		0.489955481686326	1	
C_567	MLH1_5	[DelC]567	51	46	1286457	1339204	0.480393658075156	0.937353479171036		0.542530390110962	1	
C_567	POD478_1	[InsC]567	2	3	1286457	1339204	0.687408547746815	1		1	1	
C_567	RPE1_WT_1	[InsC]567	1	0	1286457	1339204	0.307588603666764	0.789703279157356		0.489955481686326	1	
C_567	RPE1_c2_OGG1_1110	[InsC]567	0	0	1286457	1339204	1	1		1	1	
C_567	SETD2_KO15_d3	[DelC]567	0	0	1286457	1339204	1	1		1	1	
C_567	MSH3_KO5_d1	[InsC]567	0	0	1286457	1339204	1	1		1	1	
C_567	POD689_1	[DelC]567	3	1	1286457	1339204	0.298159661170459	0.789703279157356		0.36526219203241	1	
C_567	POD478_2	[DelC]567	3	2	1286457	1339204	0.622554368099112	1		0.681479422080744	1	
C_567	RPE1_WT_2	[DelC]567	0	0	1286457	1339204	1	1		1	1	
C_567	RPE1_WT_1	[DelC]567	0	0	1286457	1339204	1	1		1	1	
C_567	SETD2_KO15_d3	[InsC]567	0	0	1286457	1339204	1	1		1	1	
C_567	RPE1_WT_U2	[InsC]567	1	1	1286457	1339204	0.977330424986551	1		1	1	
C_567	POD689_1	[InsC]567	0	1	1286457	1339204	0.327032438340448	0.789703279157356		1	1	
C_567	POD478_2	[InsC]567	5	3	1286457	1339204	0.444818763898995	0.909446285469757		0.499651881509539	1	
C_567	RPE1_WT_2	[InsC]567	0	0	1286457	1339204	1	1		1	1	
C_567	SETD2_KO19_d4	[DelC]567	0	0	1286457	1339204	1	1		1	1	
C_567	SETD2_KO19_d3	[DelC]567	0	0	1286457	1339204	1	1		1	1	
C_567	POLE_L424V_d1	[DelC]567	2	0	1286457	1339204	0.149044434599622	0.758592773655001		0.24005637403448	1	
C_567	POD689_2	[DelC]567	0	0	1286457	1339204	1	1		1	1	
C_567	RPE1_WT_U2	[DelC]567	2	0	1286457	1339204	0.149044434599622	0.758592773655001		0.24005637403448	1	
C_567	RPE1_WT_U1	[DelC]567	0	0	1286457	1339204	1	1		1	1	
C_567	SETD2_KO19_d4	[InsC]567	2	0	1286457	1339204	0.149044434599622	0.758592773655001		0.24005637403448	1	
C_567	SETD2_KO19_d3	[InsC]567	1	0	1286457	1339204	0.307588603666764	0.789703279157356		0.489955481686326	1	
C_567	POLE_L424V_d1	[InsC]567	3	3	1286457	1339204	0.96074570892147	1		1	1	
C_567	POD689_2	[InsC]567	0	1	1286457	1339204	0.327032438340448	0.789703279157356		1	1	
C_567	POLE_L424V_d2	[DelC]567	1	3	1286457	1339204	0.337047332101732	0.789703279157356		0.625302615968866	1	
C_567	RPE1_WT_U1	[InsC]567	1	0	1286457	1339204	0.307588603666764	0.789703279157356		0.489955481686326	1	
C_89	DheML6d3	[DelC]89	12	10	8884	8612	0.723694869034733	1		0.832258509765669	1	
C_89	DheML6d1	[DelC]89	8	4	8884	8612	0.27090568877489	0.789703279157356		0.388395999922138	1	
C_89	EXO1_KO22_d2	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	DheMS6d3	[InsC]89	16	11	8884	8612	0.378006424972812	0.836143244179493		0.443569104691219	1	
C_89	EXO1_KO22_d3	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	EXO1_KO22_d2	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	DheML6d3	[InsC]89	11	13	8884	8612	0.628053495085781	1		0.686250263044469	1	
C_89	DheML6d1	[InsC]89	9	8	8884	8612	0.858363539119216	1		1	1	
C_89	E_MSHd2	[DelC]89	1	1	8884	8612	0.982457047538822	1		1	1	
C_89	E_MSHd1	[DelC]89	2	1	8884	8612	0.581983591498612	1		1	1	
C_89	EXO1_KO22_d3	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	DheMS6d3	[DelC]89	14	8	8884	8612	0.227651360928479	0.789703279157356		0.287567630578216	1	
C_89	DheMS6d2	[DelC]89	14	13	8884	8612	0.91107549829445	1		1	1	
C_89	EXO1_KO22_d1	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	E_MSHd2	[InsC]89	3	3	8884	8612	0.969619611077757	1		1	1	
C_89	E_MSHd1	[InsC]89	1	3	8884	8612	0.302438860909208	0.789703279157356		0.36740993426907	1	
C_89	MLH_A	[DelC]89	3	2	8884	8612	0.679972528990542	1		1	1	
C_89	MSH3_KO5_d3	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	DheMS6d2	[InsC]89	10	11	8884	8612	0.772202238359413	1		0.829609549864151	1	
C_89	POD689_1	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	EXO1_KO22_d1	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	MLH1_2	[InsC]89	11	5	8884	8612	0.15043741859818	0.758592773655001		0.210999187739076	1	
C_89	MLH_A	[InsC]89	10	7	8884	8612	0.506954309619122	0.954854407345263		0.629775456245886	1	
C_89	MSH3_KO5_d4	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	POD689_2	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	POD689_1	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	MSH3_KO5_d1	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	MLH1_5	[DelC]89	7	3	8884	8612	0.224024564339877	0.789703279157356		0.344344594507524	1	
C_89	MLH1_2	[DelC]89	6	4	8884	8612	0.559648309815742	1		0.75420349935879	1	
C_89	MSH3_KO5_d4	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	POLE_L424V_d1	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	POD689_2	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	MSH3_KO5_d1	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	MLH1_5	[InsC]89	11	6	8884	8612	0.250672504790046	0.789703279157356		0.333309416351342	1	
C_89	POD478_2	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	POD478_1	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	POLE_L424V_d1	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	RPE1_WT_1	[DelC]89	0	0	8884	8612	1	1		1	1	
