Ref	Sample	Mutation	lagging_ts	leading_uts	ts_lagging_wg	uts_leading_wg	oddsratio	lowerconfint	higherconfint	flag
C_3	RPE1_WT_U2	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	DheMS6d2	[DelC]3	280	269	11688814	11890962	1.0588949406939	0.895737271726836	1.25177161966871	
C_3	RPE1_c2_MSH2_7_2	[DelC]3	9	9	11688814	11890962	1.01729415453504	0.403818433999687	2.56275422248795	
C_3	SETD2_KO15_d3	[DelC]3	0	0	11688814	11890962	1	1	1	
C_3	DheMS6d2	[InsC]3	6	5	11688814	11890962	1.22075308277799	0.372562877909919	3.99996397244999	
C_3	RPE1_c2_MSH2_7_2	[InsC]3	3	0	11688814	11890962	1	1	1	
C_3	SETD2_KO15_d3	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	DheMS6d3	[DelC]3	339	286	11688814	11890962	1.20581965407112	1.03024179899792	1.41132017702877	*
C_3	POLE_L424V_d1	[DelC]3	1	1	11688814	11890962	1.01729414269866	0.0636305571840684	16.2639998542732	
C_3	POLE_P8_1	[DelC]3	1	2	11688814	11890962	0.508647028573389	0.0461223819800403	5.60946309729842	
C_3	DheMS6d3	[InsC]3	4	3	11688814	11890962	1.35639231025228	0.303577309191097	6.06040057543762	
C_3	POLE_L424V_d1	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	RPE1_c2_OGG1_11_1	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	E_MSHd1	[DelC]3	66	94	11688814	11890962	0.714268741113157	0.521392736431107	0.978494326605922	*
C_3	POD478_1	[DelC]3	2	0	11688814	11890962	1	1	1	
C_3	RPE1_c2_OGG1_11_2	[DelC]3	0	1	11688814	11890962	1	1	1	
C_3	POLE_L424V_d2	[InsC]3	0	1	11688814	11890962	1	1	1	
C_3	POLE_L424V_d3	[DelC]3	0	0	11688814	11890962	1	1	1	
C_3	RPE1_c2_OGG1_11_2	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	E_MSHd2	[DelC]3	46	73	11688814	11890962	0.641033251656985	0.443243286496685	0.927083708312411	*
C_3	EXO1_KO22_d3	[DelC]3	0	0	11688814	11890962	1	1	1	
C_3	RPE1_c2_MSH2_7_3	[DelC]3	4	10	11688814	11890962	0.406917453530342	0.127622889104457	1.29743038376206	
C_3	SETD2_KO19_d3	[DelC]3	0	0	11688814	11890962	1	1	1	
C_3	EXO1_KO22_d3	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	RPE1_c2_MSH2_7_3	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	SETD2_KO19_d3	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	MLH_A	[DelC]3	8	7	11688814	11890962	1.16262198697992	0.421599163576612	3.20610191239983	
C_3	POLE_L424V_d2	[DelC]3	2	1	11688814	11890962	2.03458845946021	0.184489559218699	22.4378561957619	
C_3	SETD2_KO19_d4	[DelC]3	0	2	11688814	11890962	1	1	1	
C_3	E_MSHd1	[InsC]3	3	4	11688814	11890962	0.762970545079393	0.170762207450281	3.40897474535304	
C_3	POD478_1	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	SETD2_KO19_d4	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	MLH1_2	[DelC]3	6	6	11688814	11890962	1.0172941500964	0.328099056831749	3.15419190110947	
C_3	POD478_2	[DelC]3	1	0	11688814	11890962	1	1	1	
C_3	RPE1_c2_OGG1_1110	[DelC]3	0	1	11688814	11890962	1	1	1	
C_3	E_MSHd2	[InsC]3	10	6	11688814	11890962	1.69549083037067	0.616221318251028	4.66502711076277	
C_3	POD478_2	[InsC]3	1	0	11688814	11890962	1	1	1	
C_3	RPE1_c2_OGG1_1110	[InsC]3	0	0	11688814	11890962	1	1	1	
C_3	EXO1_KO22_d1	[DelC]3	0	0	11688814	11890962	1	1	1	
C_3	POD689_1	[DelC]3	0	1	11688814	11890962	1	1	1	
C_3	RPE1_c2_MSH2_9_2	[DelC]3	7	4	11688814	11890962	1.78026521440554	0.521153656015341	6.08140074820681	
