IndelType	Indel
Del4:U2:R3	"Del(2,):R(0,9)"
Del4:U2:R4	"Del(2,):R(0,9)"
"Del4:U2:R(5,9)"	"Del(2,):R(0,9)"
"Del(5,9):U1:R(5,9)"	"Del(2,):R(0,9)"
Del6:U2:R3	"Del(2,):R(0,9)"
Del6:U2:R4	"Del(2,):R(0,9)"
"Del6:U2:R(5,9)"	"Del(2,):R(0,9)"
Del6:U3:R2	"Del(2,):R(0,9)"
Del6:U3:R3	"Del(2,):R(0,9)"
Del6:U3:R4	"Del(2,):R(0,9)"
"Del6:U3:R(5,9)"	"Del(2,):R(0,9)"
Del8:U2:R4	"Del(2,):R(0,9)"
"Del8:U2:R(5,9)"	"Del(2,):R(0,9)"
"Del8:U4:R(2,9)"	"Del(2,):R(0,9)"
Del9:U3:R3	"Del(2,):R(0,9)"
Del9:U3:R4	"Del(2,):R(0,9)"
"Del9:U3:R(5,9)"	"Del(2,):R(0,9)"
"Del(10,):R(0,9)"	"Del(2,):R(0,9)"
"Ins(2,4):M"	"Ins(2,):R(0,9)"
"Ins(5,):M"	"Ins(2,):R(0,9)"
Ins2:U2:R0	"Ins(2,):R(0,9)"
Ins3:U3:R0	"Ins(2,):R(0,9)"
Ins4:U4:R0	"Ins(2,):R(0,9)"
"Ins(5,):U(5,):R0"	"Ins(2,):R(0,9)"
Ins2:U1:R1	"Ins(2,):R(0,9)"
Ins2:U1:R2	"Ins(2,):R(0,9)"
Ins2:U1:R3	"Ins(2,):R(0,9)"
Ins2:U1:R4	"Ins(2,):R(0,9)"
"Ins2:U1:R(5,9)"	"Ins(2,):R(0,9)"
Ins2:U2:R2	"Ins(2,):R(0,9)"
Ins2:U2:R3	"Ins(2,):R(0,9)"
Ins2:U2:R4	"Ins(2,):R(0,9)"
"Ins2:U2:R(5,9)"	"Ins(2,):R(0,9)"
Ins3:U1:R1	"Ins(2,):R(0,9)"
Ins3:U1:R2	"Ins(2,):R(0,9)"
Ins3:U1:R3	"Ins(2,):R(0,9)"
Ins3:U1:R4	"Ins(2,):R(0,9)"
"Ins3:U1:R(5,9)"	"Ins(2,):R(0,9)"
Ins3:U3:R1	"Ins(2,):R(0,9)"
Ins3:U3:R2	"Ins(2,):R(0,9)"
Ins3:U3:R3	"Ins(2,):R(0,9)"
Ins3:U3:R4	"Ins(2,):R(0,9)"
